Age,Annual_Income,Loan_Amount,Debt,Credit_History,Payment_History,Employment_Years,Creditworthy
25,57245,22961,15211,Poor,Occasional Late,6.6,0
42,56738,21663,9260,Good,On-Time,8.3,1
21,79941,15117,16018,Good,On-Time,8.9,1
49,47052,22050,11459,Good,On-Time,7.1,1
23,62745,40344,12113,Good,Occasional Late,10.0,0
28,33250,15296,17911,Average,Occasional Late,8.1,0
27,64907,22195,5454,Average,Frequent Late,13.0,0
54,55068,30578,12363,Average,Frequent Late,8.1,0
23,38504,29403,9190,Good,Frequent Late,13.9,1
38,49812,18117,0,Average,On-Time,9.6,1
44,50948,1000,3716,Average,Occasional Late,0.0,0
41,49057,23167,26114,Good,Occasional Late,16.4,1
48,93970,1000,15463,Good,Occasional Late,3.7,1
53,52834,32699,88,Good,On-Time,12.0,1
36,49634,19695,0,Good,On-Time,6.1,1
54,15000,27997,10991,Average,Frequent Late,10.2,0
33,35327,8979,26051,Poor,On-Time,3.2,0
60,49212,2475,10319,Average,On-Time,8.5,1
41,39911,20608,23763,Good,On-Time,5.0,1
50,85398,17664,15167,Average,On-Time,12.3,1
56,51371,13085,16241,Average,On-Time,7.8,1
52,83346,18847,0,Good,Frequent Late,9.7,1
55,56358,45674,20438,Average,Occasional Late,0.0,0
42,55819,26345,8986,Good,Frequent Late,5.7,0
22,53046,28495,19768,Good,On-Time,7.6,1
40,55084,26439,4672,Good,On-Time,6.9,1
28,92813,32795,13593,Good,On-Time,9.8,1
56,15000,16099,15168,Poor,On-Time,4.5,1
30,15000,1000,10614,Good,On-Time,6.2,1
30,43050,16114,15641,Good,Occasional Late,10.7,1
30,55320,26117,9602,Good,Frequent Late,0.0,0
46,70182,8302,6158,Good,On-Time,8.4,1
43,65408,16236,26449,Good,On-Time,4.7,1
58,46547,11082,21441,Good,On-Time,2.4,1
37,77419,33020,5152,Average,On-Time,7.3,1
32,77664,25495,17116,Good,On-Time,10.9,1
22,59049,24515,5316,Average,On-Time,10.2,1
21,76178,24216,1338,Good,On-Time,5.5,1
35,60998,17628,21304,Average,On-Time,9.5,1
58,42647,19976,0,Average,Occasional Late,9.5,1
41,70352,6148,20342,Good,On-Time,5.7,1
56,57433,1000,9725,Good,On-Time,3.2,1
25,55029,19501,10096,Poor,On-Time,3.5,0
24,87405,21240,15688,Good,On-Time,9.4,1
54,15000,30093,17231,Average,On-Time,5.8,0
25,23811,33713,4563,Good,Occasional Late,1.8,0
23,28884,33700,18460,Good,Frequent Late,0.0,0
37,47008,8020,13020,Good,Occasional Late,9.3,1
57,49399,14477,696,Poor,On-Time,3.8,0
48,21839,22803,10471,Good,On-Time,7.3,1
24,33327,43319,24432,Average,On-Time,11.0,0
54,36061,32801,27089,Average,On-Time,0.8,0
54,109063,29194,18456,Good,Occasional Late,5.8,1
53,94638,14122,1287,Good,On-Time,5.3,1
57,45942,9168,16415,Good,On-Time,7.5,1
30,47001,25889,19658,Good,On-Time,11.0,1
60,29718,6993,18531,Average,On-Time,0.7,0
33,15000,15616,19065,Good,Frequent Late,8.3,0
53,52429,16852,15269,Good,On-Time,10.1,1
44,33047,33929,11348,Average,On-Time,5.3,0
52,53133,14453,6525,Average,On-Time,5.5,1
46,19795,1000,0,Good,Occasional Late,7.7,0
46,38237,23044,15057,Average,On-Time,7.4,1
45,58270,11010,13674,Good,Occasional Late,8.3,1
52,63057,18426,17018,Average,On-Time,8.2,1
50,64184,17133,0,Good,On-Time,2.1,1
26,25949,15263,17805,Good,Occasional Late,10.0,0
54,73803,25903,30491,Good,On-Time,10.7,1
42,37395,2671,12706,Average,On-Time,6.7,0
33,68923,12830,11445,Average,On-Time,0.0,0
41,54766,24840,14781,Good,On-Time,5.5,1
59,24719,11859,30291,Poor,On-Time,6.8,0
55,48044,1912,2787,Average,Occasional Late,1.4,0
54,63038,24686,13829,Good,On-Time,4.6,1
39,68485,29231,4803,Average,On-Time,0.4,1
52,51898,17550,7077,Good,On-Time,8.4,1
36,88699,1000,11554,Poor,Occasional Late,6.7,0
48,77165,25060,24126,Good,On-Time,0.0,0
46,49354,1401,28209,Good,On-Time,7.4,1
30,71503,21088,16033,Good,Occasional Late,5.8,0
31,97543,9125,8611,Good,Occasional Late,8.1,1
23,98131,6402,34435,Average,Frequent Late,4.4,0
26,27984,13581,8152,Good,On-Time,2.8,1
38,34616,16167,6860,Good,On-Time,2.9,0
40,87668,11558,0,Good,On-Time,3.8,1
27,31718,23887,24565,Poor,Occasional Late,6.1,0
37,25904,13539,20714,Average,On-Time,6.6,1
45,44304,27802,33760,Good,On-Time,5.2,1
30,64245,20812,0,Good,On-Time,4.3,1
34,52747,11024,25124,Good,Occasional Late,4.6,1
35,40688,9341,12631,Poor,Occasional Late,16.0,0
41,40167,1525,19255,Average,On-Time,2.9,1
35,39329,20907,0,Average,Frequent Late,3.8,0
50,35651,14454,25213,Poor,Frequent Late,19.2,0
34,105196,1000,19079,Good,On-Time,7.7,1
38,61545,12643,11650,Average,On-Time,0.5,1
36,74509,8990,17806,Good,Occasional Late,9.4,1
28,44240,33757,5111,Good,On-Time,2.4,0
48,50909,1000,6785,Good,On-Time,9.6,1
30,39302,3586,7829,Good,On-Time,5.2,0
32,15000,29100,0,Poor,Frequent Late,4.2,0
52,24684,31568,19756,Good,On-Time,12.4,0
58,15166,10550,22724,Average,Occasional Late,8.3,0
47,15000,11679,5688,Average,On-Time,9.9,0
57,28702,24162,15134,Average,On-Time,7.7,0
55,84149,1000,9610,Poor,Occasional Late,4.2,0
40,54022,1000,14954,Good,On-Time,8.4,1
51,83392,15193,6352,Good,On-Time,10.8,1
34,64042,33499,4049,Good,On-Time,6.5,1
39,72216,13643,21469,Good,Occasional Late,13.2,1
42,35180,19009,11425,Poor,On-Time,9.4,0
59,66527,29338,30199,Good,On-Time,6.8,0
54,71032,39069,12417,Good,On-Time,7.0,1
40,42314,12232,3665,Good,On-Time,6.5,1
47,67310,17832,23042,Good,On-Time,1.0,1
29,67456,36221,17677,Average,On-Time,5.6,0
53,42910,2778,18542,Good,On-Time,6.9,1
43,30299,28276,22715,Average,On-Time,4.3,0
42,28949,7817,6125,Average,Occasional Late,7.4,0
51,56903,19025,10855,Average,Occasional Late,6.1,0
46,62194,15574,10457,Good,On-Time,9.1,1
23,37564,8420,383,Average,On-Time,8.7,0
32,55585,8169,9628,Good,On-Time,6.7,1
28,67552,20764,24027,Good,Frequent Late,0.5,0
50,68600,27955,14136,Average,On-Time,13.2,1
22,89141,16703,0,Average,On-Time,5.4,1
29,83094,18701,0,Good,On-Time,5.7,1
44,32972,23712,26983,Poor,On-Time,4.6,0
48,92039,8284,11187,Good,On-Time,4.0,1
41,43319,25397,6173,Average,On-Time,12.2,1
55,77987,26193,9534,Poor,Occasional Late,11.5,0
57,56496,44036,0,Average,Occasional Late,7.8,0
26,45933,14239,24808,Average,Occasional Late,5.6,0
59,15231,13419,8463,Average,Occasional Late,8.5,0
45,51226,25690,24307,Average,On-Time,6.3,1
46,20694,26191,12465,Average,Frequent Late,5.2,0
24,76281,12649,24866,Average,Occasional Late,7.4,0
45,88369,13968,14310,Good,Occasional Late,4.2,1
50,37468,23411,19679,Average,Occasional Late,7.0,0
44,61643,9724,18472,Good,On-Time,6.8,1
24,39041,13895,17610,Poor,On-Time,8.4,0
41,41173,18896,15131,Good,On-Time,3.5,1
58,72039,27959,9904,Good,On-Time,8.8,1
49,54152,11954,29239,Poor,On-Time,2.4,0
26,93272,1000,3838,Good,On-Time,3.7,1
59,44391,1000,12039,Good,On-Time,3.9,1
59,76985,5406,12134,Average,Frequent Late,1.7,0
27,57143,4868,15622,Good,Occasional Late,10.1,1
53,72507,16454,8135,Good,On-Time,2.1,1
37,45163,6111,14833,Good,On-Time,3.2,1
44,53910,10972,10480,Good,On-Time,11.0,1
38,52459,10259,0,Good,Frequent Late,3.7,0
52,36607,13595,12086,Good,Occasional Late,5.2,1
60,69566,31225,2095,Good,Occasional Late,2.0,0
52,69305,24619,0,Good,On-Time,9.3,1
58,68058,18161,13232,Good,On-Time,9.4,1
58,88813,13390,16391,Average,Occasional Late,9.0,1
24,86886,13668,16740,Average,Frequent Late,8.2,0
31,46751,21277,17105,Good,On-Time,6.3,1
49,63207,23842,0,Good,On-Time,3.9,1
44,41281,8924,0,Poor,On-Time,2.7,0
23,55514,18365,29762,Average,On-Time,11.2,1
24,41806,1000,2575,Good,Frequent Late,9.1,0
41,90642,20117,17498,Good,Occasional Late,3.2,1
45,63001,25621,5818,Good,On-Time,6.2,1
27,50203,15199,12717,Average,On-Time,4.8,1
27,81260,36165,6301,Poor,On-Time,1.5,0
26,15000,9188,17054,Poor,On-Time,6.7,0
43,15000,20174,13231,Good,On-Time,4.3,0
21,72508,17642,7965,Good,Occasional Late,2.2,1
43,56330,16997,2548,Good,Occasional Late,0.1,0
40,60510,16857,14410,Good,On-Time,0.0,1
39,25819,19071,1086,Good,Occasional Late,4.5,0
48,54489,26480,15847,Average,Occasional Late,5.7,0
41,99077,31777,35638,Good,On-Time,2.5,1
50,73132,17977,24152,Poor,Occasional Late,8.6,0
51,58734,26153,18465,Good,Occasional Late,5.7,0
57,45341,10982,11230,Good,Occasional Late,8.3,1
52,46319,25660,0,Poor,On-Time,5.3,0
41,15000,10380,99,Average,On-Time,2.9,0
40,60668,28907,23545,Good,On-Time,6.5,1
30,73601,40106,4892,Average,On-Time,0.9,0
44,20336,16779,5707,Good,On-Time,8.2,1
26,40449,1000,10509,Good,Occasional Late,2.3,1
58,29536,12519,2442,Good,On-Time,9.7,1
54,33762,30319,959,Good,On-Time,4.6,1
25,56177,23531,11546,Average,Frequent Late,10.3,0
52,15000,20489,3976,Good,On-Time,1.5,0
25,68514,28087,5331,Average,On-Time,3.3,0
49,71585,22845,4969,Average,On-Time,7.5,1
24,49476,30177,16701,Good,On-Time,10.7,1
40,15000,27194,9911,Good,On-Time,12.7,1
47,33079,33217,10393,Good,Occasional Late,6.2,0
50,82124,21588,17373,Average,On-Time,13.4,1
37,15000,27053,10722,Average,On-Time,4.8,0
57,47354,14929,9496,Average,On-Time,10.4,1
51,29040,11985,16234,Good,Occasional Late,2.2,1
29,72701,35068,18014,Good,On-Time,7.7,1
47,40147,20162,10676,Average,Occasional Late,0.0,0
50,63887,26049,12725,Good,On-Time,1.5,1
34,67440,19237,4964,Average,On-Time,7.9,1
50,95397,12135,4254,Good,On-Time,0.8,1
56,50535,18110,18922,Good,On-Time,7.7,1
53,63273,32360,16004,Good,On-Time,9.6,1
51,22329,23552,16098,Good,Occasional Late,4.0,1
46,81189,1000,14528,Average,On-Time,2.1,1
31,38269,15848,12416,Good,On-Time,4.1,1
52,42663,35823,18268,Poor,On-Time,2.1,0
35,54511,15862,20416,Average,On-Time,5.6,1
42,20617,1000,20201,Poor,On-Time,6.4,0
33,60033,36930,11093,Average,On-Time,4.8,0
33,76284,24824,24483,Average,On-Time,12.7,1
27,61445,17300,14056,Average,On-Time,3.1,0
59,20044,14286,17691,Good,On-Time,11.6,1
26,52276,28824,14539,Good,On-Time,1.8,1
24,71325,12580,14223,Average,On-Time,6.3,0
58,15000,29483,5378,Good,On-Time,10.7,1
43,31355,23422,18312,Good,Frequent Late,10.5,0
38,74284,20447,37608,Poor,On-Time,4.3,0
50,60942,19455,8627,Good,Occasional Late,8.2,1
36,64063,16250,12639,Average,On-Time,7.7,1
26,95909,28456,7984,Average,On-Time,3.8,0
50,65308,9347,7608,Good,On-Time,8.5,1
28,69474,1781,25900,Poor,On-Time,13.4,0
43,114636,24144,5943,Good,Occasional Late,7.9,1
58,50296,24312,7733,Poor,Occasional Late,8.3,0
58,37447,22802,0,Average,On-Time,8.7,1
35,64412,22077,5181,Good,Occasional Late,0.2,0
52,64658,14795,0,Good,On-Time,7.8,1
45,43412,25875,17686,Good,On-Time,1.9,1
40,32287,17544,37197,Good,Occasional Late,3.6,0
26,105817,13129,8700,Good,On-Time,14.6,1
36,62191,14881,0,Poor,On-Time,5.0,1
47,38890,38206,20100,Good,Frequent Late,3.0,0
60,75150,1000,5458,Average,Frequent Late,10.6,1
21,52599,22998,23694,Good,Occasional Late,2.2,0
49,49437,1209,9462,Poor,On-Time,4.2,0
54,67370,16918,6314,Good,Occasional Late,11.0,1
59,26579,13664,10398,Good,On-Time,6.2,1
37,62758,1000,18820,Average,On-Time,0.0,0
25,97085,21890,9953,Good,On-Time,8.2,1
31,65256,14200,7529,Average,Frequent Late,4.4,0
55,46723,1000,10211,Good,Frequent Late,12.2,1
56,43844,26396,553,Average,Occasional Late,3.6,0
46,45973,32350,15573,Average,On-Time,10.2,0
25,49413,32901,0,Average,On-Time,13.1,1
25,46688,21590,8003,Good,On-Time,2.6,1
40,75159,18461,18834,Good,Frequent Late,5.2,0
44,16869,31282,14727,Good,On-Time,7.6,1
22,73964,34824,17313,Good,On-Time,2.6,0
48,46647,29336,11415,Good,Occasional Late,7.1,0
42,63293,8585,22528,Poor,On-Time,5.1,0
21,30206,20013,20322,Good,Occasional Late,5.0,1
24,84230,22395,16015,Average,On-Time,6.2,1
39,82404,1000,20348,Good,Occasional Late,6.3,1
49,76111,22694,18754,Good,On-Time,6.7,1
54,21675,40730,8045,Good,On-Time,3.6,1
38,73241,24399,0,Good,On-Time,3.8,1
32,63907,32734,15783,Good,On-Time,5.5,0
59,19684,19829,16915,Good,On-Time,5.8,0
39,54465,17268,21814,Good,On-Time,4.2,1
33,63020,21813,3573,Poor,On-Time,7.3,0
38,67234,9842,3842,Good,Occasional Late,0.0,0
21,58900,8362,16139,Good,On-Time,3.1,1
33,61407,30663,11359,Good,Occasional Late,4.9,0
41,87419,31723,0,Good,Occasional Late,2.6,0
57,81973,8089,15376,Average,On-Time,12.5,1
50,15000,27680,0,Good,Occasional Late,6.1,0
52,48016,17130,3493,Average,On-Time,6.7,1
42,51378,21398,24165,Good,On-Time,4.1,1
25,16454,22602,28424,Good,On-Time,5.9,0
36,57072,27944,1059,Poor,Occasional Late,1.1,0
60,82473,18827,9035,Good,On-Time,5.3,1
22,31096,32102,12384,Average,On-Time,2.3,0
56,62401,21094,28031,Good,Frequent Late,4.9,0
48,34852,24242,7564,Poor,On-Time,0.0,0
32,40218,9667,7708,Good,Frequent Late,1.5,0
52,87503,39587,25939,Good,Occasional Late,11.9,1
54,43064,22698,8627,Average,Frequent Late,9.3,0
22,65169,25130,18500,Good,Frequent Late,11.3,1
25,15000,1918,0,Good,Frequent Late,11.6,0
47,95971,9773,10459,Poor,On-Time,8.7,1
60,68258,30379,0,Average,Occasional Late,4.2,1
21,50985,20869,2501,Average,Occasional Late,1.9,0
47,67662,1000,19553,Average,Occasional Late,10.6,1
26,23984,28383,11551,Average,On-Time,6.3,0
47,81016,12562,9128,Poor,Frequent Late,16.0,0
45,47872,32113,5261,Average,On-Time,4.5,1
24,50510,17122,10014,Good,On-Time,13.9,1
48,44184,20047,14710,Good,On-Time,5.4,1
56,42226,29790,20846,Average,On-Time,11.3,1
55,70283,9025,0,Average,Occasional Late,12.8,1
22,60630,8072,4514,Good,On-Time,1.9,1
30,69338,16035,13432,Good,Occasional Late,4.1,1
30,54807,26272,11110,Good,Occasional Late,1.9,0
39,66290,4691,15630,Good,On-Time,1.1,1
26,45785,1320,14408,Average,Occasional Late,8.7,0
55,104054,26237,9256,Good,On-Time,5.2,1
52,20506,11970,7258,Average,Occasional Late,6.2,0
53,82741,14078,9790,Average,Frequent Late,8.2,1
28,85094,1000,22339,Poor,On-Time,0.0,0
21,36253,11210,5412,Good,Occasional Late,11.1,0
57,104044,17924,11435,Poor,On-Time,4.6,1
32,76901,27304,13650,Average,On-Time,8.1,1
47,76365,10288,26043,Average,Occasional Late,8.5,1
57,55616,34574,9297,Good,On-Time,11.5,1
22,50221,11154,20629,Good,Occasional Late,5.6,0
21,50393,11169,23088,Average,On-Time,0.0,0
21,63592,33374,11426,Good,On-Time,6.2,1
27,85826,20115,10104,Good,Occasional Late,6.8,1
23,58989,12480,9039,Average,On-Time,1.9,0
53,34948,16449,9698,Average,On-Time,6.6,0
45,73137,31531,19688,Good,On-Time,4.6,1
60,75265,32662,14079,Good,Occasional Late,0.6,0
53,69403,9832,14118,Good,On-Time,8.7,1
59,71401,17576,1873,Poor,On-Time,3.7,1
30,49040,18902,3293,Poor,On-Time,4.4,0
32,34562,8138,31291,Good,On-Time,4.1,0
54,35900,17443,10400,Good,Frequent Late,10.9,0
30,19020,18053,5027,Good,On-Time,5.8,0
23,60213,29402,24880,Good,On-Time,6.3,0
47,53164,30074,14536,Poor,Occasional Late,4.2,0
53,45320,14708,17203,Good,On-Time,7.9,1
59,15000,15860,10758,Good,On-Time,11.4,1
58,27559,24643,9132,Good,On-Time,8.6,1
25,79658,12148,10474,Good,On-Time,8.7,1
51,40378,23886,0,Average,Occasional Late,8.4,0
54,62933,17121,11209,Average,Occasional Late,0.5,0
48,24405,8306,14664,Average,Frequent Late,2.5,0
53,86652,8432,28654,Good,Frequent Late,5.2,0
54,51831,32471,12774,Poor,On-Time,3.1,0
38,61381,16436,0,Good,On-Time,1.7,0
22,106167,34404,11154,Average,Occasional Late,0.0,0
39,88362,12864,36656,Poor,Frequent Late,0.6,0
29,48256,20912,19797,Good,Occasional Late,5.0,1
25,41949,41927,4702,Poor,On-Time,5.7,0
25,47838,7426,17320,Good,Occasional Late,2.8,0
48,66218,1000,5322,Average,Occasional Late,6.3,0
41,52685,30866,0,Good,Frequent Late,4.3,0
42,46305,9732,8865,Good,Occasional Late,10.4,1
50,87278,17793,12824,Good,On-Time,5.4,1
42,52487,12141,0,Good,On-Time,8.8,1
46,105591,20682,1658,Good,On-Time,6.8,1
24,56996,8495,12093,Good,On-Time,0.4,1
55,94277,16201,8326,Average,Frequent Late,5.6,0
38,62861,22498,15553,Good,On-Time,1.1,0
27,76185,7917,1068,Good,On-Time,5.6,1
53,39059,10999,18427,Poor,On-Time,3.0,0
50,36217,14526,1346,Poor,Occasional Late,7.5,0
23,65114,3712,26785,Good,On-Time,0.6,1
28,76748,13774,0,Good,On-Time,6.1,1
21,55886,19188,2167,Average,Occasional Late,8.3,0
31,26699,14005,15756,Average,On-Time,9.6,1
24,25074,15286,26978,Good,On-Time,2.9,0
49,23603,17801,14835,Average,On-Time,6.1,0
41,16112,11443,17066,Good,On-Time,6.7,1
60,57409,24911,12158,Good,Occasional Late,12.2,1
50,79751,32360,2762,Average,Frequent Late,0.1,0
45,54705,13356,7589,Average,On-Time,2.4,1
41,15000,22852,1093,Average,Frequent Late,17.2,0
23,50803,15604,492,Good,Occasional Late,4.9,0
23,51418,21655,15616,Good,On-Time,0.0,1
45,101112,33658,1891,Good,On-Time,3.7,1
21,22943,23087,14876,Good,On-Time,0.0,0
22,46405,1000,284,Good,Occasional Late,7.0,0
29,92529,22540,14667,Good,On-Time,9.2,1
56,64900,30329,7602,Average,On-Time,2.4,0
39,67393,15784,24660,Average,Occasional Late,4.1,0
49,57521,27956,14913,Good,Occasional Late,9.7,1
37,62259,11099,23122,Good,Occasional Late,0.0,0
27,72107,3145,5199,Average,Occasional Late,0.7,0
35,37191,19412,12505,Good,On-Time,5.1,1
24,74317,1000,3170,Poor,Occasional Late,3.0,0
51,24794,15602,8278,Good,On-Time,4.8,1
28,62224,30868,9641,Average,On-Time,0.9,0
36,58932,1000,5467,Poor,Frequent Late,6.9,0
60,41442,5205,1060,Average,On-Time,5.4,1
44,54501,7680,0,Average,On-Time,8.2,1
39,41304,17367,0,Average,Occasional Late,6.8,0
42,31423,14343,2493,Good,On-Time,6.8,1
52,47220,31991,17647,Average,On-Time,0.2,0
31,30712,27543,0,Poor,Occasional Late,8.0,0
46,62102,22953,0,Poor,Occasional Late,4.7,0
55,29698,19456,28118,Good,Occasional Late,5.3,0
43,70663,21932,6272,Good,On-Time,10.2,1
38,29007,9380,14889,Average,On-Time,3.1,0
26,42542,26572,17781,Average,Occasional Late,11.4,1
30,41259,6880,17963,Good,On-Time,11.8,1
58,84153,26354,0,Good,On-Time,9.0,1
42,62266,29861,9920,Good,On-Time,2.1,1
33,50342,20109,0,Good,On-Time,0.0,1
37,65972,16238,34017,Good,On-Time,10.3,1
44,15000,22003,0,Good,Occasional Late,6.4,1
42,54051,1000,2569,Good,Frequent Late,3.0,0
48,98945,21023,2635,Poor,On-Time,10.7,0
31,57912,16866,0,Good,Occasional Late,2.6,1
46,56494,17494,24173,Good,On-Time,4.3,1
38,67059,25065,33802,Good,On-Time,8.1,1
58,74703,17252,7718,Good,Occasional Late,1.5,0
27,15000,6598,116,Poor,On-Time,5.6,0
26,17989,16586,0,Poor,Frequent Late,10.4,0
39,59626,18676,9803,Good,On-Time,6.8,1
41,39273,19149,9153,Good,On-Time,11.0,1
48,83865,19619,6138,Good,On-Time,10.5,1
37,48066,28394,13992,Good,On-Time,6.0,1
57,15000,7140,15557,Good,Occasional Late,0.0,0
39,27104,19757,14908,Good,Occasional Late,1.6,1
26,15000,30899,9155,Good,On-Time,9.1,1
25,49849,1000,2085,Average,On-Time,0.0,0
59,50856,19796,17992,Good,Occasional Late,4.7,0
26,45662,12146,12113,Good,Occasional Late,7.4,0
58,78735,14293,19995,Good,On-Time,11.9,1
32,81367,8952,19111,Good,On-Time,3.7,0
24,51251,16304,0,Good,On-Time,3.4,1
33,15000,36413,0,Good,On-Time,5.8,1
45,68580,5356,5200,Good,On-Time,7.4,1
38,67218,6304,2494,Good,On-Time,5.4,1
52,61807,4981,18797,Average,On-Time,10.2,1
45,76593,35274,15162,Poor,On-Time,2.8,0
37,29374,13377,21893,Good,On-Time,6.5,1
46,99193,17744,15568,Good,Frequent Late,7.8,0
59,33893,13972,13878,Average,On-Time,4.4,0
37,71483,8556,22798,Average,On-Time,9.4,1
27,17878,15648,16228,Good,On-Time,6.6,0
37,34534,42582,12613,Good,On-Time,9.2,1
54,88360,31921,25324,Good,Occasional Late,6.8,1
29,49260,9471,13037,Average,On-Time,7.5,1
58,73478,24476,9261,Good,On-Time,3.5,1
44,60213,9685,4460,Good,Frequent Late,3.5,1
45,52691,1000,18327,Good,Occasional Late,10.9,1
33,85005,28195,23133,Good,Occasional Late,8.5,1
57,49794,29601,11545,Good,On-Time,1.9,0
22,15824,28461,23771,Average,On-Time,6.7,0
32,37329,13301,0,Good,Occasional Late,0.0,0
37,67126,16332,11501,Good,On-Time,3.7,1
40,63701,25498,11639,Good,Occasional Late,9.8,1
39,20525,21915,5457,Average,Occasional Late,5.5,0
26,39064,14064,33455,Good,On-Time,6.5,1
30,42202,1809,11404,Good,On-Time,0.0,1
24,46960,19139,8330,Good,On-Time,4.4,1
43,24730,28790,12234,Average,On-Time,7.4,0
35,41176,6024,0,Average,Occasional Late,7.9,0
43,38971,24388,5161,Poor,Occasional Late,9.8,0
44,71974,21315,20849,Average,On-Time,5.2,0
49,72801,25501,6339,Good,Occasional Late,5.3,1
42,51792,26720,4540,Good,On-Time,0.7,0
46,46375,11055,23786,Good,Occasional Late,5.2,0
44,58078,1830,24062,Average,On-Time,1.0,0
47,37035,12665,16653,Average,Occasional Late,0.0,0
45,29770,26891,7904,Good,Occasional Late,1.7,0
33,34315,12580,9845,Poor,On-Time,12.0,0
30,41034,11060,4763,Good,On-Time,4.9,1
52,29404,1000,3047,Good,Occasional Late,6.9,1
34,58565,35526,2600,Good,On-Time,3.9,1
42,71054,26257,6438,Poor,Occasional Late,0.0,0
28,20084,25699,2688,Poor,Frequent Late,9.7,0
38,55553,27677,0,Good,Occasional Late,0.0,0
42,50161,23767,13975,Poor,On-Time,3.8,0
46,62513,15557,14111,Poor,Occasional Late,5.8,0
42,54715,16362,27307,Average,Frequent Late,6.9,0
35,23021,13724,5985,Poor,On-Time,3.1,0
59,27227,44347,14665,Good,On-Time,0.0,0
41,55647,23559,14814,Average,On-Time,2.8,1
53,77633,13362,9715,Average,Occasional Late,3.0,0
50,15000,22655,18699,Average,On-Time,2.9,0
43,62606,7891,18977,Good,On-Time,9.9,1
56,81172,33045,14947,Average,On-Time,1.1,0
26,51633,11389,9699,Poor,Occasional Late,7.2,0
57,67104,23011,8782,Good,On-Time,6.6,1
55,39532,28660,0,Poor,Occasional Late,9.8,0
41,52374,21848,4747,Good,Occasional Late,5.5,1
50,19340,18945,6402,Good,Frequent Late,9.2,0
41,15000,18108,1884,Good,Frequent Late,5.3,0
31,75741,17436,15959,Average,On-Time,7.7,1
52,33330,12233,22770,Average,Occasional Late,0.0,0
30,44978,13505,3827,Good,On-Time,0.0,0
33,24498,32796,14551,Average,Frequent Late,7.5,0
41,23981,16915,2693,Good,On-Time,7.7,1
54,51176,10142,9256,Good,Occasional Late,7.9,1
36,38949,12837,5787,Poor,Occasional Late,3.9,0
40,63315,29004,17417,Average,On-Time,12.0,1
22,64956,24756,5891,Average,Occasional Late,4.2,0
25,62059,23603,21105,Average,On-Time,7.7,0
23,60249,15425,9789,Poor,On-Time,8.4,0
23,89711,23734,6154,Good,On-Time,12.9,1
55,31513,11564,720,Good,On-Time,4.7,1
54,53791,15404,14279,Good,On-Time,3.4,1
53,79919,27698,20057,Average,Frequent Late,0.0,0
23,82820,26743,14460,Average,On-Time,12.2,1
24,23721,8181,32149,Average,On-Time,7.7,0
32,48128,9445,24868,Good,Occasional Late,7.8,0
43,84879,19087,9232,Good,Occasional Late,18.5,1
34,66178,35261,9138,Average,On-Time,7.3,1
40,59296,1000,16227,Poor,Frequent Late,0.8,0
27,50211,20783,4458,Good,On-Time,5.2,1
50,46556,4240,22497,Good,On-Time,2.1,1
33,61341,11657,15254,Good,On-Time,4.4,1
23,49448,14356,14308,Good,Occasional Late,4.4,0
50,54063,13795,18183,Good,On-Time,3.7,1
57,56729,12662,27505,Good,On-Time,0.4,1
21,40082,18072,13539,Average,Occasional Late,12.4,0
38,66707,12647,10983,Good,On-Time,7.2,1
54,119113,3375,25578,Good,On-Time,5.1,1
49,15906,25799,20708,Good,Occasional Late,9.0,0
55,62128,25529,9111,Poor,Occasional Late,7.9,0
37,38276,26432,12047,Good,On-Time,7.1,0
35,67703,2593,13758,Good,On-Time,8.7,1
49,56024,20989,15256,Good,Frequent Late,6.5,1
27,71761,24760,0,Average,On-Time,8.7,0
30,80861,7688,0,Poor,On-Time,9.0,1
45,59233,18092,4013,Good,On-Time,6.7,1
47,79905,16837,3317,Good,On-Time,5.1,1
25,15000,36422,6206,Good,Frequent Late,12.1,0
41,89990,37245,17712,Average,On-Time,4.1,0
35,63251,1356,10480,Poor,On-Time,7.6,0
41,78713,42939,13768,Good,On-Time,7.7,1
59,28163,8848,981,Good,On-Time,3.6,1
24,36723,27807,7845,Average,On-Time,2.8,0
60,58211,27705,17285,Average,Frequent Late,4.6,0
38,54625,8043,17355,Good,Occasional Late,4.0,1
51,61228,22933,5479,Good,On-Time,0.2,1
37,78859,16925,13455,Good,On-Time,3.4,1
33,16165,23543,31790,Average,On-Time,7.1,0
51,76424,20307,11842,Average,On-Time,11.1,1
48,55182,29963,5761,Average,On-Time,8.2,1
26,50517,18754,10436,Average,On-Time,0.0,0
49,22635,16321,12830,Good,Occasional Late,8.6,1
51,66067,28961,10639,Good,Frequent Late,3.8,0
36,15000,23804,11718,Good,On-Time,7.8,0
58,69265,25318,0,Poor,Frequent Late,5.9,0
46,22174,11354,3336,Average,On-Time,5.2,0
34,56176,7547,10656,Good,On-Time,5.6,1
21,52378,12323,10513,Good,Occasional Late,5.9,0
47,80730,11792,6904,Average,On-Time,11.4,1
29,51070,25862,10407,Average,On-Time,5.9,0
51,39729,27760,12549,Average,Occasional Late,10.3,0
42,43855,16449,20005,Good,On-Time,9.8,1
39,83003,32309,11107,Poor,Occasional Late,8.7,0
27,66799,31685,15592,Average,On-Time,0.0,0
49,46516,20434,7126,Average,Occasional Late,10.5,0
27,49798,9781,17149,Average,On-Time,4.2,0
